name	source	about	first_release	types	paradigms	website
epigram	https://en.wikipedia.org/wiki/Epigram_(programming_language)	Epigram is a functional programming language with dependent types, and the integrated development environment (IDE) usually packaged with the language. Epigram's type system is strong enough to express program specifications. The goal is to support a smooth transition from ordinary programming to integrated programs and proofs which correctness can be checked and certified by the compiler. Epigram exploits the Curry–Howard correspondence, also termed the propositions as types principle, and is based on intuitionistic type theory.	2004	['strong', 'static', 'dependent']	['Functional']	https://web.archive.org/web/20120717070845/http://www.e-pig.org/darcs/Pig09/web/
epl	https://en.wikipedia.org/wiki/Easy_Programming_Language	Easy Programming Language (EPL, Chinese: 易语言) is a visual compiled multilingual[1] proprietary programming language. EPL is somewhat popular in China because it features a full Chinese environment. (The language has traditional Chinese, simplified Chinese, English and Japanese variants.)	2004		['Multi-paradigm', 'compiled', 'imperative', 'procedural', 'object-oriented', 'functional']	http://epl.eyuyan.com/
epl	https://en.wikipedia.org/wiki/Eltron_Programming_Language	Eltron Programming Language (EPL) is a printer control language used to produce printed labels for various Eltron model printers.				
erlang	https://en.wikipedia.org/wiki/Erlang_(programming_language)	Erlang (/ˈɜːrlæŋ/ UR-lang) is a general-purpose, concurrent, functional programming language, and a garbage-collected runtime system. The term Erlang is used interchangeably with Erlang/OTP, or Open Telecom Platform (OTP), which consists of the Erlang runtime system, several ready-to-use components (OTP) mainly written in Erlang, and a set of design principles for Erlang programs.[3]	1986	['Dynamic', 'strong']	['Multi-paradigm', 'concurrent', 'functional']	http://www.erlang.org/
es	https://en.wikipedia.org/wiki/Es_(Unix_shell)	"rc (for ""run commands"") is the command line interpreter for Version 10 Unix and Plan 9 from Bell Labs operating systems. It resembles the Bourne shell, but its syntax is somewhat simpler. It was created by Tom Duff, who is better known for an unusual C programming language construct (""Duff's device"").[1]"	1989	['weak']	['imperative', 'pipeline']	http://doc.cat-v.org/plan_9/4th_edition/papers/rc
escher	https://en.wikipedia.org/wiki/Escher_(programming_language)	"Escher (named for M. C. Escher, ""a master of endless loops"") is a declarative programming language that supports both functional programming and logic programming models, developed by J.W. Lloyd in the mid-1990s. It was designed mostly as a research and teaching vehicle. The basic view of programming exhibited by Escher and related languages is that a program is a representation of a theory in some logic framework, and the program's execution (computation) is a deduction from the theory. The logic framework for Escher is Alonzo Church's simple theory of types."	1990	['static', 'manifest']	['declarative', 'functional', 'logic']	
espol	https://en.wikipedia.org/wiki/Executive_Systems_Problem_Oriented_Language	The Executive Systems Problem Oriented Language (ESPOL) is a programming language, a superset of ALGOL 60, that provides abilities of what would later be termed a system programming language or machine oriented high order language (mohol), such as interrupting a processor on a multiprocessing system (the Burroughs large systems were multiprocessor systems). ESPOL was used to write the Master Control Program (MCP) on Burroughs computer systems from the B5000 to the B6700. The single-pass compiler for ESPOL could compile over 250 lines per second.				
esterel	https://en.wikipedia.org/wiki/Esterel	Esterel is a synchronous programming language for the development of complex reactive systems. The imperative programming style of Esterel allows the simple expression of parallelism and preemption. As a consequence, it is well suited for control-dominated model designs.				
etoys	https://en.wikipedia.org/wiki/Etoys_(programming_language)	Etoys is a child-friendly computer environment and object-oriented prototype-based programming language for use in education.	1996	['dynamic']	['object-oriented', 'prototype-based', 'educational']	
euclid	https://en.wikipedia.org/wiki/Euclid_(programming_language)	Euclid is an imperative programming language for writing verifiable programs. It was designed by Butler Lampson and associates at the Xerox PARC lab in the mid-1970s. The implementation was led by Ric Holt at the University of Toronto and James Cordy was the principal programmer for the first implementation of the compiler. It was originally designed for the Motorola 6809 microprocessor. It was considered innovative for the time; the compiler development team had a $2 million budget over 2 years and was commissioned by the Defense Advanced Research Projects Agency of the U.S. Department of Defense and the Canadian Department of National Defence. It was used for a few years at I. P. Sharp Associates, MITRE Corporation, SRI International and various other international institutes for research in systems programming and secure software systems.	1970	['strong', 'static']	['multi-paradigm', 'structured', 'imperative', 'functional']	
euler	https://en.wikipedia.org/wiki/Euler_(programming_language)	Euler is a programming language created by Niklaus Wirth and Helmut Weber, conceived as an extension and generalization of ALGOL 60.[1][2][3] The designers' goals were to create a language that is:	1965	['dynamic']	['Multi-paradigm', 'procedural', 'imperative', 'structured']	
euphoria	https://en.wikipedia.org/wiki/Euphoria_(programming_language)	Euphoria is a programming language created by Robert Craig of Rapid Deployment Software[1] in Toronto, Ontario, Canada. Initially developed (though not publicly released) on the Atari ST,[2] the first commercial release[3] was for the 16-bit DOS platform and was proprietary. In 2006, with the release of version 3,[4] Euphoria became open-source software. The openEuphoria Group continues to administer and develop the project.[5] In December 2010, the openEuphoria Group released version 4[6] of openEuphoria along with a new identity and mascot for the project. OpenEuphoria is currently available for Windows, Linux, macOS and three flavors of *BSD.	1993		['Imperative, procedural']	http://openeuphoria.org/
euslisp robot programming language	https://en.wikipedia.org/wiki/EusLisp_Robot_Programming_Language	EusLisp is a Lisp-based programming system. Built on the basis of object orientation, it is designed specifically for developing robotics software. The first version of it ran in 1986 on Unix-System5/Ustation-E20.[1]				
cms exec	https://en.wikipedia.org/wiki/CMS_EXEC	CMS EXEC, or EXEC, is an interpreted, command procedure control, computer scripting language used by the CMS EXEC Processor supplied with the IBM Virtual Machine/Conversational Monitor System (VM/CMS) operating system.				
exec 2	https://en.wikipedia.org/wiki/EXEC_2	EXEC 2 is an interpreted, command procedure control, computer scripting language used by the EXEC 2 Processor supplied with the IBM Virtual Machine/System Product (VM/SP) operating system.[1]				
executable uml	https://en.wikipedia.org/wiki/Executable_UML	"Executable UML (xtUML or xUML) is both a software development method and a highly abstract software language. It was described for the first time in 2002 in the book ""Executable UML: A Foundation for Model-Driven Architecture"".[1] The language ""combines a subset of the UML (Unified Modeling Language) graphical notation with executable semantics and timing rules.""[2] The Executable UML method is the successor to the Shlaer–Mellor method.[3]"				
ezhil	https://en.wikipedia.org/wiki/Ezhil_(programming_language)	Ezhil, in Tamil language script (Tamil: எழில், romanized: Eḻil, lit. 'beauty', Tamil pronunciation: [eɻil̪]), is a compact, open source, interpreted, programming language, originally designed to enable native-Tamil speaking students, K-12 age-group to learn computer programming, and enable learning numeracy and computing, outside of linguistic expertise in predominately English language-based computer systems.	2007	['strong', 'dynamic']	['interpreted', 'imperative', 'structured']	http://ezhillang.org/
f	https://en.wikipedia.org/wiki/F_(programming_language)	F is a modular, compiled, numeric programming language, designed for scientific programming and scientific computation.[1] F was developed as a modern Fortran, thus making it a subset of Fortran 95.[2] It combines both numerical and data abstraction features from these languages. F is also backwards compatible with Fortran 77, allowing calls to Fortran 77 programs. F was first included in the g95 compiler.		['static', 'manifest']	['procedural', 'modular']	
f#	https://en.wikipedia.org/wiki/F_Sharp_(programming_language)	F# (pronounced F sharp) is a functional-first, general purpose, strongly typed, multi-paradigm programming language that encompasses functional, imperative, and object-oriented programming methods. F# is most often used as a cross-platform Common Language Infrastructure (CLI) language on .NET Core, but it can also generate JavaScript[9] and graphics processing unit (GPU) code.[10]	2005	['Static', 'strong', 'inferred']	['Multi-paradigm', 'functional', 'imperative', 'object-oriented', 'metaprogramming', 'reflective', 'concurrent']	http://fsharp.org/
f*	https://en.wikipedia.org/wiki/F*_(programming_language)	F* (pronounced F star) is a functional programming language inspired by ML and aimed at program verification. Its type system includes dependent types, monadic effects, and refinement types. This allows expressing precise specifications for programs, including functional correctness and security properties. The F* type-checker aims to prove that programs meet their specifications using a combination of SMT solving and manual proofs. Programs written in F* can be translated to OCaml, F#, and C for execution. Previous versions of F* could also be translated to JavaScript.		['Dependent', 'inferred', 'static', 'strong']	['Multi-paradigm', 'functional', 'imperative']	https://www.fstar-lang.org/
factor	https://en.wikipedia.org/wiki/Factor_(programming_language)	Factor is a stack-oriented programming language created by Slava Pestov. Factor is dynamically typed and has automatic memory management, as well as powerful metaprogramming features. The language has a single implementation featuring a self-hosted optimizing compiler and an interactive development environment. The Factor distribution includes a large standard library.	2003	['strong', 'dynamic']	['multi-paradigm', 'functional', 'concatenative', 'stack-oriented']	http://factorcode.org/
fantom	https://en.wikipedia.org/wiki/Fantom_(programming_language)	"Fantom is a general purpose object-oriented programming language created by Brian and Andy Frank[4] that runs on the Java Runtime Environment (JRE), JavaScript, and the .NET Common Language Runtime (CLR) (.NET support is considered ""prototype""[5] status). Its primary design goal is to provide a standard library API[6] that abstracts away the question of whether the code will ultimately run on the JRE or CLR. Like C# and Java, Fantom uses a curly brace syntax. The language supports functional programming through closures and concurrency through the Actor model. Fantom takes a ""middle of the road"" approach to its type system, blending together aspects of both static and dynamic typing."	2005	['static', 'dynamic']	['multi-paradigm']	http://www.fantom.org/
faust	https://en.wikipedia.org/wiki/FAUST_(programming_language)	FAUST (Functional AUdio STream) is a domain-specific purely functional programming language for implementing signal processing algorithms in the form of libraries, audio plug-ins, or standalone applications. A FAUST program denotes a signal processor: a mathematical function that is applied to some input signal and then fed out.	2002			http://faust.grame.fr/
ffp	https://en.wikipedia.org/wiki/FFP_(programming_language)	"FP (short for functional programming)[2] is a programming language created by John Backus to support the function-level programming[2] paradigm. This allows eliminating named variables. The language was introduced in Backus's 1977 Turing Award paper, ""Can Programming Be Liberated from the von Neumann Style?"", subtitled ""a functional style and its algebra of programs."" The paper sparked interest in functional programming research,[3] eventually leading to modern functional languages, and not the function-level paradigm Backus had hoped."	1977		['Function-level']	
fish	https://en.wikipedia.org/wiki/Friendly_interactive_shell	"fish is a Unix shell that attempts to be more interactive and user-friendly than those with a longer history (i.e. most other Unix shells) or those formulated as function-compatible replacements for the aforementioned (e.g. zsh, the Falstad shell). The design goal of fish is to give the user a rich set of powerful features in a way that is easy to discover, remember, and use.[4] fish is considered an ""exotic shell"",[citation needed] in that its syntax derives from neither the Bourne shell (ksh, Bash, zsh) nor the C shell (csh, tcsh). Also unlike previous shells, which disable certain features by default to save system resources, fish enables all features by default."	2005			http://fishshell.com/
fjölnir	https://en.wikipedia.org/wiki/Fj%C3%B6lnir_(programming_language)	Fjölnir (also Fjolnir or Fjoelnir) is a programming language developed by professor Snorri Agnarsson of computer science at Háskóli Íslands (University of Iceland) that was mostly used in the 1980s. The source files usually have the extension fjo or sma.	1980		['object-oriented']	
fl	https://en.wikipedia.org/wiki/FL_(programming_language)	"FL (short for ""Function Level"") is a programming language created at the IBM Almaden Research Center by John Backus, John Williams, and Edward Wimmers in the 1980s and documented in a report from 1989.[1] FL was designed as a successor of Backus' earlier FP language, providing specific support for what Backus termed function-level programming."	1989	['Dynamic']	['Function-level', 'functional']	
flavors	https://en.wikipedia.org/wiki/Flavors_(programming_language)	Flavors,[1] an early object-oriented extension to Lisp developed by Howard Cannon at the MIT Artificial Intelligence Laboratory for the Lisp machine and its programming language Lisp Machine Lisp, was the first programming language to include mixins.[2] Symbolics used it for its Lisp machines, and eventually developed it into New Flavors; both the original and new Flavors were message passing OO models. It was hugely influential in the development of the Common Lisp Object System (CLOS).[3]				
flex	https://en.wikipedia.org/wiki/Flex_(language)	In computing, the FLEX language was developed by Alan Kay in the late 1960s while exploring ideas that would later evolve into the Smalltalk programming language.[1]				
flix	https://en.wikipedia.org/wiki/Flix_(programming_language)	Flix is a functional, imperative, and logic programming language developed at Aarhus University, with funding from the Independent Research Fund Denmark,[2] and by a community of open source contributors.[3] The Flix language supports algebraic data types, pattern matching, parametric polymorphism, currying, higher-order functions, extensible records,[4] channel and process-based concurrency, and tail call elimination. Two notable features of Flix are its type and effect system[5] and its support for first-class Datalog constraints.[6]		['inferred', 'static', 'strong', 'structural']	['Multi-paradigm', 'functional', 'imperative', 'logic']	https://flix.dev/
floop	https://en.wikipedia.org/wiki/BlooP_and_FlooP	BlooP and FlooP are simple programming languages designed by Douglas Hofstadter to illustrate a point in his book Gödel, Escher, Bach.[1] BlooP is a non-Turing-complete programming language whose main control flow structure is a bounded loop (i.e. recursion is not permitted). All programs in the language must terminate, and this language can only express primitive recursive functions.[2]				
flow-matic	https://en.wikipedia.org/wiki/FLOW-MATIC	FLOW-MATIC, originally known as B-0 (Business Language version 0), was the first English-like data processing language. It was developed for the UNIVAC I at Remington Rand under Grace Hopper from 1955 to 1959, and helped shape the development of COBOL.	1955		['imperative']	
focal	https://en.wikipedia.org/wiki/FOCAL_(programming_language)	FOCAL is an interactive interpreted programming language based on JOSS and primarily used on Digital Equipment Corporation (DEC) PDP-series machines. The name is an acronym for Formulating On-Line Calculations in Algebraic Language,[1] or for FOrmula CALculator.[2]	1968			
focus	https://en.wikipedia.org/wiki/FOCUS	FOCUS is a fourth-generation programming language (4GL) computer programming language and development environment that is used to build database queries. Produced by Information Builders Inc., it was originally developed for data handling and analysis on the IBM mainframe. Subsequently versions for minicomputers and such as the VAX and other platforms[1] were implemented.[2][3] FOCUS was later extended to personal computers and (in 1997) to the World Wide Web: the WebFOCUS product.				
foil	https://en.wikipedia.org/wiki/FOIL_(programming_language)	FOIL was the name for two different programming languages.				
formac	https://en.wikipedia.org/wiki/FORMAC_(programming_language)	FORMAC, the FORmula MAnipulation Compiler, was the first computer algebra system to have significant use.[1] It was developed by Jean E. Sammet and her team, as an extension of FORTRAN IV. The compiler was implemented as a preprocessor taking the FORMAC program and converting it to a FORTRAN IV program which was in turn compiled without further user intervention.				
@formula	https://en.wikipedia.org/wiki/Formula_language	The Formula language is a scripting language used by Lotus Notes. It is often referred to as @Formula language (pronounced at-formula) because many language elements start with the @-character. Here is an example of a selection formula:				
forth	https://en.wikipedia.org/wiki/Forth_(programming_language)	Forth is an imperative stack-based computer programming language and environment originally designed by Chuck Moore. Language features include structured programming, reflection (the ability to examine and modify program structure during execution), concatenative programming (functions are composed with juxtaposition) and extensibility (the programmer can create new commands). Although not an acronym, the language's name is sometimes spelled with all capital letters as FORTH, following the customary usage during its earlier years.	1970	['typeless']	['Procedural', 'stack-oriented', 'reflective', 'concatenative']	
fortran	https://en.wikipedia.org/wiki/Fortran	Fortran (/ˈfɔːrtræn/; formerly FORTRAN, derived from Formula Translation[2]) is a general-purpose, compiled imperative programming language that is especially suited to numeric computation and scientific computing.	1957	['strong', 'static', 'manifest']	['multi-paradigm', 'structured', 'imperative', 'procedural', 'object-oriented', 'generic', 'array']	https://fortran-lang.org/
fortress	https://en.wikipedia.org/wiki/Fortress_(programming_language)	Fortress is a discontinued experimental programming language for high-performance computing, created by Sun Microsystems with funding from DARPA's High Productivity Computing Systems project. One of the language designers was Guy L. Steele Jr., whose previous work includes Scheme, Common Lisp, and Java.	2006	['Static']		https://github.com/stokito/fortress-lang
fp	https://en.wikipedia.org/wiki/FP_(programming_language)	"FP (short for functional programming)[2] is a programming language created by John Backus to support the function-level programming[2] paradigm. This allows eliminating named variables. The language was introduced in Backus's 1977 Turing Award paper, ""Can Programming Be Liberated from the von Neumann Style?"", subtitled ""a functional style and its algebra of programs."" The paper sparked interest in functional programming research,[3] eventually leading to modern functional languages, and not the function-level paradigm Backus had hoped."	1977		['Function-level']	
franz lisp	https://en.wikipedia.org/wiki/Franz_Lisp	In computer programming, Franz Lisp is a discontinued Lisp programming language system written at the University of California, Berkeley (UC Berkeley, UCB) by Professor Richard Fateman and several students, based largely on Maclisp and distributed with the Berkeley Software Distribution (BSD) for the Digital Equipment Corporation (DEC) VAX minicomputer.[1] Piggybacking on the popularity of the BSD package, Franz Lisp was probably the most widely distributed and used Lisp system of the 1970s and 1980s.[2]	1980	['Dynamic', 'strong']	['Multi-paradigm', 'functional', 'procedural', 'reflective', 'meta']	
futhark	https://en.wikipedia.org/wiki/Futhark_(programming_language)	Futhark is a functional data parallel array programming language originally developed at DIKU as part of the HIPERFIT project.[1] It focuses on enabling data parallel programs written in a functional style to be executed with high performance on massively parallel hardware, in particular on GPUs. Futhark is strongly inspired by NESL, but imposes constraints on how parallelism can be expressed in order to enable more aggressive compiler optimisations. In particular, irregular nested data parallelism is not supported.[2]	2014	['static', 'strong']	['Array', 'functional']	https://futhark-lang.org/
f-script	https://en.wikipedia.org/wiki/F-Script_(programming_language)	F-Script is an object-oriented scripting programming language for Apple's macOS operating system developed by Philippe Mougin. F-Script is an interactive language based on Smalltalk, using macOS's native Cocoa API.	2009	['dynamic']	['multi-paradigm', 'object-oriented', 'array']	https://github.com/pmougin/F-Script
game maker language	https://en.wikipedia.org/wiki/Game_Maker_Language	GameMaker (originally Animo and later Game Maker until 2011) is a series of cross-platform game engines created by Mark Overmars in 1999 and developed by YoYo Games since 2007. The latest iteration is GameMaker Studio 2, first released in 2017.	1999			https://www.yoyogames.com/gamemaker
scripting language	https://en.wikipedia.org/wiki/Scripting_language	A scripting or script language is a programming language for a special run-time environment that automates the execution of tasks;[1] the tasks could alternatively be executed one-by-one by a human operator. Scripting languages are often interpreted, rather than compiled.				
gamemonkey script	https://en.wikipedia.org/wiki/GameMonkey_Script	GameMonkey Script is a small, cross-platform scripting language designed for embedding into games. GameMonkey bears many similarities to Lua, except the syntax is more similar to that of C.				
gams	https://en.wikipedia.org/wiki/General_Algebraic_Modeling_System	The General Algebraic Modeling System (GAMS) is a high-level modeling system for mathematical optimization. GAMS is designed for modeling and solving linear, nonlinear, and mixed-integer optimization problems. The system is tailored for complex, large-scale modeling applications and allows the user to build large maintainable models that can be adapted to new situations. The system is available for use on various computer platforms. Models are portable from one platform to another.				https://www.gams.com/
gap	https://en.wikipedia.org/wiki/GAP_computer_algebra_system	GAP (Groups, Algorithms and Programming) is a computer algebra system for computational discrete algebra with particular emphasis on computational group theory.				https://www.gap-system.org/
g-code	https://en.wikipedia.org/wiki/G-code	G-code (also RS-274) is the most widely used computer numerical control (CNC) programming language. It is used mainly in computer-aided manufacturing to control automated machine tools, and has many variants.	1950		['Procedural', 'Imperative']	
gdscript	https://en.wikipedia.org/wiki/GDScript	Godot is a 2D and 3D, cross-platform, free and open-source game engine released under the MIT license. It was initially developed by Argentinians Juan Linietsky and Ariel Manzur[5] for several companies in Latin America prior to its public release.[6] The development environment runs on multiple operating systems including Linux, BSDs, macOS, and Microsoft Windows. Godot can create games targeting PC, mobile, and web platforms.	2014			https://godotengine.org/
genie	https://en.wikipedia.org/wiki/Genie_(programming_language)	Genie is a modern, general-purpose high-level programming language in development since 2008.[1] It was designed as an alternative, simpler and cleaner dialect for the Vala compiler, while preserving the same functionality of the Vala language. Genie uses the same compiler and libraries as Vala; the two can indeed be used alongside each other.[2] The differences are only syntactic.	2008	['static', 'strong']	['multi-paradigm', 'imperative', 'structured', 'object-oriented']	https://wiki.gnome.org/Projects/Genie
gdl	https://en.wikipedia.org/wiki/Geometric_Description_Language	In computer-aided design, Geometric Description Language (GDL) is the programming language of ArchiCAD library parts. GSM is the file format of these CAD objects.				
george	https://en.wikipedia.org/wiki/GEORGE_(programming_language)	GEORGE (General Order Generator) is a programming language invented by Charles Leonard Hamblin in 1957.[1][2][3][4]				
glsl	https://en.wikipedia.org/wiki/GLSL	OpenGL Shading Language (GLSL) is a high-level shading language with a syntax based on the C programming language. It was created by the OpenGL ARB (OpenGL Architecture Review Board) to give developers more direct control of the graphics pipeline without having to use ARB assembly language or hardware-specific languages.				
gnu e	https://en.wikipedia.org/wiki/GNU_E	GNU E is an extension of C++ designed for writing software systems to support persistent applications. It was designed as part of the Exodus project.	1991	['strong']	['object-oriented']	ftp://ftp.cs.wisc.edu/exodus/E/
gnu guile	https://en.wikipedia.org/wiki/GNU_Guile	GNU Ubiquitous Intelligent Language for Extensions[3] (GNU Guile) is the preferred extension language system for the GNU Project[4] and features an implementation of the programming language Scheme. Its first version was released in 1993.[1] In addition to large parts of Scheme standards, Guile Scheme includes modularized extensions for many different programming tasks.[5][6]	1993			https://gnu.org/software/guile
go	https://en.wikipedia.org/wiki/Go_(programming_language)	Go is a statically typed, compiled programming language designed at Google[14] by Robert Griesemer, Rob Pike, and Ken Thompson.[12] Go is syntactically similar to C, but with memory safety, garbage collection, structural typing,[6] and CSP-style concurrency.[15] The language is often referred to as Golang because of its domain name, golang.org, but the proper name is Go.[16]	2009	['Inferred', 'static', 'strong', 'structural', '[6]', '[7]']	['Multi-paradigm', 'concurrent', 'functional', '[1]', 'imperative', 'object-oriented', '[2]', '[3]']	https://golang.org/
go!	https://en.wikipedia.org/wiki/Go!_(programming_language)	Go! is an agent-based programming language in the tradition of logic-based programming languages like Prolog.[1] It was introduced in a 2003 paper by Francis McCabe and Keith Clark.[2]	2003	['strong']	['Multi-paradigm', 'concurrent', 'logic', 'functional', 'imperative', 'object-based']	
goal	https://en.wikipedia.org/wiki/Game_Oriented_Assembly_Lisp	Game Oriented Assembly Lisp (GOAL) is a programming language, a dialect of the language Lisp, made for video games developed by Andy Gavin and the Jak and Daxter team at the company Naughty Dog.	2001	['Dynamic', 'latent', 'strong']	['Multi-paradigm']	
gödel	https://en.wikipedia.org/wiki/G%C3%B6del_(programming_language)	Gödel is a declarative, general-purpose programming language that adheres to the logic programming paradigm. It is a strongly typed language, the type system being based on many-sorted logic with parametric polymorphism. It is named after logician Kurt Gödel.	1992	['strong']	['declarative', 'logic']	
golo	https://en.wikipedia.org/wiki/Golo_(programming_language)	Golo is computer software, a programming language for the Java virtual machine (JVM). It is simple, with dynamic, weak typing. It was created in 2012 as part of the research activities of the DynaMid group of the Centre of Innovation in Telecommunications and Integration of service (CITI) Laboratory at Institut national des sciences appliquées de Lyon (INSA). It is distributed as free and open-source software under the Eclipse Public License 2.0.	2012	['Dynamic', 'weak']		http://golo-lang.org/
gom	https://en.wikipedia.org/wiki/MAD_(programming_language)	MAD (Michigan Algorithm Decoder) is a programming language and compiler for the IBM 704 and later the IBM 709, IBM 7090, IBM 7040, UNIVAC 1107, UNIVAC 1108, Philco 210-211, and eventually the IBM S/370 mainframe computers. Developed in 1959 at the University of Michigan by Bernard Galler, Bruce Arden and Robert M. Graham, MAD is a variant of the ALGOL language. It was widely used to teach programming at colleges and universities during the 1960s and played a minor role in the development of CTSS, Multics, and the Michigan Terminal System computer operating systems.[1]	1959		['Imperative']	
google apps script	https://en.wikipedia.org/wiki/Google_Apps_Script	"Apps Script is a scripting platform developed by Google for light-weight application development in the Google Workspace platform. Google Apps Script was initially developed by Mike Harm as a side project whilst working as a developer on Google Sheets.[2] Google Apps Script was first publicly announced in May 2009 when a beta testing program was announced by Jonathan Rochelle, then Product Manager, Google Docs.[3] In August 2009 Google Apps Script was subsequently made available to all Google Apps Premier and Education Edition customers.[4] It is based on JavaScript 1.6, but also includes some portions of 1.7 and 1.8 and a subset of the ECMAScript 5 API.[5] Apps Script projects run server-side on Google's infrastructure. According to Google, Apps Script ""provides easy ways to automate tasks across Google products and third party services.""[6] Apps Script is also the tool that powers the add-ons for Google Docs, Sheets and Slides.[7]"	2009			https://script.google.com/
gosu	https://en.wikipedia.org/wiki/Gosu_(programming_language)	Gosu is a statically-typed general-purpose programming language that runs on the Java Virtual Machine. Its influences include Java, C#, and ECMAScript. Development of Gosu began in 2002 internally for Guidewire Software, and the language saw its first community release in 2010 under the Apache 2 license.[1]		['static']		http://gosu-lang.org/
gotran	https://en.wikipedia.org/wiki/IBM_1620	"The IBM 1620 was announced by IBM on October 21, 1959,[1] and marketed as an inexpensive ""scientific computer"".[2] After a total production of about two thousand machines, it was withdrawn on November 19, 1970. Modified versions of the 1620 were used as the CPU of the IBM 1710 and IBM 1720 Industrial Process Control Systems (making it the first digital computer considered reliable enough for real-time process control of factory equipment).[1]"				
gpss	https://en.wikipedia.org/wiki/GPSS	General Purpose Simulation System (GPSS) is a discrete time simulation general-purpose programming language, where a simulation clock advances in discrete steps. A system is modelled as transactions enter the system and are passed from one service (represented by blocks) to another. It is used primarily as a process flow oriented simulation language;[1] this is particularly well-suited for problems such as a factory.				
graphtalk	https://en.wikipedia.org/wiki/Computer_Sciences_Corporation	Computer Sciences Corporation (CSC) was an American multinational corporation that provided information technology (IT) services and professional services. On April 3, 2017, it merged with the Enterprise Services line of business of HP Enterprise (formerly Electronic Data Systems) to create DXC Technology.[2][3]				
grass	https://en.wikipedia.org/wiki/GRASS_(programming_language)	"GRASS (GRAphics Symbiosis System) is a programming language created to script 2D vector graphics animations. GRASS was similar to BASIC in syntax, but added numerous instructions for specifying 2D object animation, including scaling, translation and rotation over time. These functions were directly supported by the Vector General 3D graphics terminal GRASS was written for. It quickly became a hit with the artistic community who were experimenting with the new medium of computer graphics, and is most famous for its use by Larry Cuba to create the original ""attacking the Death Star will not be easy"" animation in Star Wars (1977)."				
grasshopper	https://en.wikipedia.org/wiki/Grasshopper_3D	Grasshopper is a visual programming language and environment that runs within the Rhinoceros 3D computer-aided design (CAD) application. The program was created by David Rutten at Robert McNeel & Associates.[1][2] Programs are created by dragging components onto a canvas. The outputs to these components are then connected to the inputs of subsequent components.	2007		['visual programming']	http://grasshopper3d.com/
groovy	https://en.wikipedia.org/wiki/Groovy_(programming_language)	Apache Groovy is a Java-syntax-compatible object-oriented programming language for the Java platform. It is both a static and dynamic language with features similar to those of Python, Ruby, and Smalltalk. It can be used as both a programming language and a scripting language for the Java Platform, is compiled to Java virtual machine (JVM) bytecode, and interoperates seamlessly with other Java code and libraries. Groovy uses a curly-bracket syntax similar to Java's. Groovy supports closures, multiline strings, and expressions embedded in strings. Much of Groovy's power lies in its AST transformations, triggered through annotations.	2003	['Dynamic', 'static', 'strong', 'duck']	['Object-oriented', 'imperative', 'scripting']	https://groovy-lang.org/
hack	https://en.wikipedia.org/wiki/Hack_(programming_language)	Hack is a programming language for the HipHop Virtual Machine (HHVM), created by Facebook as a dialect of PHP. The language implementation is open-source, licensed under the MIT License.[2][3][4]	2014	['Static', 'dynamic', 'weak', 'gradual']		https://hacklang.org/
haggis	https://en.wikipedia.org/wiki/HAGGIS	Haggis is a high-level reference programming language used primarily to examine computing science for Scottish pupils taking SQA courses on the subject.[1] Haggis is used as a tool to bridge the gap between pseudocode and typical computer programming.[2]				
hal/s	https://en.wikipedia.org/wiki/HAL/S	HAL/S (High-order Assembly Language/Shuttle)[1][2] is a real-time aerospace programming language compiler and cross-compiler for avionics applications used by NASA and associated agencies (JPL, etc.). It has been used in many U.S. space projects since 1973 and its most significant use was in the Space Shuttle program (approximately 85% of the Shuttle software is coded in HAL/S).[3] It was designed by Intermetrics in 1972 for NASA and delivered in 1973. HAL/S is written in XPL, a dialect of PL/I.[4] Although HAL/S is designed primarily for programming on-board computers, it is general enough to meet nearly all the needs in the production, verification, and support of aerospace and other real-time applications. According to documentation from 2005, it is been maintained by the HAL/S project of United Space Alliance.[5]				
halide	https://en.wikipedia.org/wiki/Halide_(programming_language)	Halide is a computer programming language designed for writing digital image processing code that takes advantage of memory locality, vectorized computation and multi-core CPUs and GPUs.[1] Halide is implemented as an internal domain-specific language (DSL) in C++.	2012	['static']	['functional', 'parallel']	http://halide-lang.org/
hamilton c shell	https://en.wikipedia.org/wiki/Hamilton_C_shell	Hamilton C shell is a clone of the Unix C shell and utilities[1][2] for Microsoft Windows created by Nicole Hamilton[3] at Hamilton Laboratories as a completely original work, not based on any prior code. It was first released on OS/2 on December 12, 1988[4][5][6][7][8][9] and on Windows NT in July 1992.[10][11][12] The OS/2 version was discontinued in 2003 but the Windows version continues to be actively supported.	1988			https://hamiltonlabs.com/Cshell.htm
harbour	https://en.wikipedia.org/wiki/Harbour_(software)	Harbour is a computer programming language, primarily used to create database/business programs. It is a modernized, open sourced and cross-platform version of the older Clipper system, which in turn developed from the dBase database market of the 1980s and 1990s.	1999	['duck', 'dynamic', 'safe', 'strong']	['multi-paradigm', 'imperative', 'functional', 'object-oriented', 'reflective']	https://harbour.github.io/
hartmann pipelines	https://en.wikipedia.org/wiki/Hartmann_pipeline	CMS Pipelines implements the pipeline concept under the VM/CMS operating system. The programs in a pipeline operate on a sequential stream of records. A program writes records that are read by the next program in the pipeline. Any program can be combined with any other because reading and writing is done through a device independent interface.	1986		['Dataflow programming']	http://vm.marist.edu/~pipeline
